accuracy_score;cost_per_task_cents;task_complexity;execution_time_seconds;;;
0.5616;0.0237;7;59.38;;;
0.411;0.0156;8;31.56;;;
0.4184;0.0292;8;71.52;;;
0.626;0.0155;6;33.91;;;
0.6846;0.0122;5;27.3;;;
0.4879;0.0282;7;71.54;;;
0.64;0.014;5;32.03;;;
0.4;0.0189;9;41.38;;;
0.764;0.0098;3;23.1;;;
0.5503;0.0181;5;42.47;;;
0.4;0.0192;9;40.7;;;
0.5288;0.0288;7;73.37;;;
0.4;0.0428;10;110.21;;;
0.6335;0.0257;5;66.22;;;
0.4;0.0326;10;79.59;;;
0.6195;0.0095;4;18.4;;;
0.4869;0.0288;7;71.42;;;
0.6684;0.0144;3;35.05;;;
0.5763;0.013;6;26.84;;;
0.4457;0.0209;7;50.54;;;
0.4219;0.0185;8;40.75;;;
0.6174;0.0211;5;53.48;;;
0.817;0.0111;2;27.11;;;
0.4073;0.0182;8;39.23;;;
0.5478;0.0422;7;112.03;;;
0.7853;0.0086;3;17.24;;;
0.5686;0.0124;6;25.47;;;
0.5599;0.0199;7;46.69;;;
0.6759;0.0102;4;22.73;;;
0.4277;0.0391;10;99.59;;;
0.57;0.0228;5;58.59;;;
0.4326;0.0272;8;64.88;;;
0.5899;0.0293;6;77.42;;;
0.5092;0.013;6;27.21;;;
0.6087;0.0081;5;14.87;;;
0.5493;0.0095;6;15.99;;;
0.5976;0.0237;5;60.92;;;
0.7353;0.0109;3;24.38;;;
0.5738;0.015;6;33.37;;;
0.5051;0.0404;7;107.23;;;
0.7519;0.0163;4;40.19;;;
0.6568;0.0154;4;36.17;;;
0.7753;0.0157;4;38.59;;;
0.5005;0.0167;8;36.3;;;
0.4;0.0344;10;85.95;;;
0.7494;0.0107;3;25.56;;;
0.4;0.0195;9;41.1;;;
0.4;0.0278;8;66.93;;;
0.5684;0.0143;7;29.89;;;
0.6593;0.0124;5;26.92;;;
0.6633;0.0184;5;44.75;;;
0.4;0.019;10;39.05;;;
0.5965;0.0143;7;30.88;;;
0.4062;0.0114;8;18.99;;;
0.6793;0.0148;4;35.21;;;
0.7037;0.0194;3;50.6;;;
0.4354;0.0487;7;132.63;;;
0.7602;0.0085;2;17.38;;;
0.7176;0.0142;4;34.16;;;
0.4;0.0145;10;24.64;;;
0.8359;0.0066;2;16.27;;;
0.7177;0.0061;4;9.12;;;
0.4701;0.0252;8;60.43;;;
0.4;0.0348;9;87.88;;;
0.4881;0.0177;8;37.1;;;
0.7585;0.0113;2;27.95;;;
0.6839;0.0252;4;66.28;;;
0.7166;0.0149;4;33.53;;;
0.4034;0.0373;8;97.88;;;
0.5447;0.0113;6;21.26;;;
0.6462;0.0102;6;19.1;;;
0.4791;0.0257;7;63.36;;;
0.631;0.0168;5;40.39;;;
0.5718;0.0223;7;53.09;;;
0.4971;0.0126;8;21.88;;;
0.6366;0.0096;6;17.49;;;
0.6166;0.0168;5;39.54;;;
0.5261;0.0193;6;44.25;;;
0.4183;0.0216;8;50.56;;;
0.5577;0.0239;6;60.16;;;
0.4;0.0348;9;88.8;;;
0.4859;0.0365;8;95.41;;;
0.4;0.0246;9;57.26;;;
0.4;0.0136;9;24.95;;;
0.5136;0.043;8;114.53;;;
0.4637;0.0205;8;45.29;;;
0.4669;0.0203;8;44.6;;;
0.8098;0.0069;2;13.88;;;
0.6275;0.0173;5;42.22;;;
0.5209;0.0306;7;78.37;;;
0.6444;0.014;6;30.75;;;
0.4;0.0336;9;83.93;;;
0.8336;0.0087;3;18.68;;;
0.8016;0.0102;2;24.79;;;
0.4;0.022;9;49.96;;;
0.5508;0.0298;5;80;;;
0.7234;0.016;3;39.01;;;
0.4912;0.0417;8;108.94;;;
0.6357;0.0138;5;31;;;
0.5775;0.0298;6;76.94;;;
0.5066;0.018;7;41.1;;;
0.7795;0.0122;3;31.01;;;
0.4;0.0232;9;53.83;;;
0.7284;0.0126;3;28.33;;;
0.4;0.0275;9;65.86;;;
0.4;0.0296;9;71.86;;;
0.4126;0.0145;8;28.75;;;
0.5618;0.0166;6;39.29;;;
0.575;0.0109;5;22.84;;;
0.7404;0.0076;3;15.25;;;
0.6288;0.0065;5;9.51;;;
0.4;0.0258;9;60.6;;;
0.7069;0.0104;5;22.13;;;
0.4315;0.0302;9;74.04;;;
0.7555;0.0093;3;21.02;;;
0.516;0.0141;7;28.8;;;
0.7933;0.017;3;43.99;;;
0.6279;0.0133;6;27.05;;;
0.6229;0.0101;5;19.38;;;
0.4205;0.0205;9;44.87;;;
0.4;0.0302;10;72.46;;;
0.6921;0.012;4;27.55;;;
0.6753;0.0147;4;35.27;;;
0.7881;0.0112;3;25.27;;;
0.4;0.0186;10;37.92;;;
0.6663;0.0223;4;58.33;;;
0.77;0.0114;3;26.22;;;
0.4676;0.0268;8;65.08;;;
0.6531;0.009;5;16.4;;;
0.4;0.0211;10;44.92;;;
0.6736;0.0114;4;25.57;;;
0.5892;0.0361;5;96.61;;;
0.4139;0.0274;9;65.43;;;
0.5896;0.0204;6;48.08;;;
0.6937;0.0094;4;20.62;;;
0.4782;0.017;6;39.69;;;
0.533;0.0135;7;26.64;;;
0.4;0.014;8;28.31;;;
0.4141;0.0281;8;67.31;;;
0.7725;0.027;5;70.13;;;
0.7547;0.0084;3;16.63;;;
0.5185;0.0113;7;20.59;;;
0.4;0.0221;8;51.71;;;
0.4701;0.0337;8;87.15;;;
0.4552;0.0268;8;63.82;;;
0.5032;0.0127;7;24.45;;;
0.6064;0.0038;4;3;;;
0.6828;0.0118;5;26.3;;;
0.5564;0.0154;5;36.45;;;
0.512;0.0211;7;51.17;;;
0.7609;0.0161;4;40.93;;;
0.4764;0.0165;7;35.18;;;
0.6327;0.0173;5;40.3;;;
0.5948;0.0131;6;29.04;;;
0.4477;0.0191;9;40.9;;;
0.4706;0.0252;8;61;;;
0.4455;0.0214;8;49.66;;;
0.4;0.0337;10;83.7;;;
0.4372;0.0178;10;34.94;;;
0.7538;0.0136;4;32.21;;;
0.4;0.0325;8;80.43;;;
0.8795;0.0078;2;18.2;;;
0.4797;0.0183;8;39.78;;;
0.4;0.0285;9;68.54;;;
0.5581;0.0131;7;26.38;;;
0.4;0.0367;10;92.38;;;
0.5211;0.0104;6;19.86;;;
0.5699;0.0115;6;23.23;;;
0.4338;0.0247;8;59.71;;;
0.4183;0.0147;8;28.88;;;
0.4432;0.0289;8;71.9;;;
0.6645;0.0053;3;8.27;;;
0.5444;0.0152;6;33.21;;;
0.4595;0.0215;8;49.74;;;
0.4;0.0315;9;79.28;;;
0.4;0.0264;9;62.02;;;
0.5727;0.0235;7;56.1;;;
0.6004;0.0113;4;23.65;;;
0.4;0.0305;10;71.97;;;
0.4939;0.0308;7;76.83;;;
0.4;0.0165;9;32.39;;;
0.8106;0.0075;2;16.16;;;
0.6106;0.0088;6;15.68;;;
0.4006;0.0467;9;122.98;;;
0.5073;0.0431;7;115.29;;;
0.5536;0.0149;7;31.08;;;
0.6648;0.0155;5;35.88;;;
0.707;0.0088;4;19.12;;;
0.5188;0.0305;8;76.64;;;
0.5349;0.0257;7;62.03;;;
0.6389;0.019;5;46.24;;;
0.6894;0.0089;3;20.21;;;
0.4244;0.036;9;92.16;;;
0.4906;0.0166;7;37.37;;;
0.4547;0.0255;8;61.24;;;
0.4;0.0186;10;37.12;;;
0.4869;0.0293;7;74.2;;;
0.6094;0.0331;4;90.61;;;
0.6684;0.0146;5;33.15;;;
0.5624;0.013;6;27.06;;;
0.7452;0.0054;2;9.48;;;
0.5088;0.0203;7;48.85;;;
0.6465;0.0166;5;37.96;;;
0.4484;0.0059;7;3.56;;;
0.6393;0.0293;5;77.49;;;
0.545;0.0187;7;43.35;;;
0.6058;0.0132;5;29.55;;;
0.5876;0.0096;4;20.93;;;
0.4;0.0154;9;30.3;;;
0.6995;0.018;4;45.13;;;
0.4382;0.0185;8;40.37;;;
0.4;0.0201;9;43.43;;;
0.7869;0.0095;3;22.3;;;
0.5596;0.0144;6;32.34;;;
0.4392;0.016;7;35.55;;;
0.5725;0.0224;7;54.06;;;
0.4157;0.0232;9;52.92;;;
0.4712;0.0148;7;30.8;;;
0.5372;0.0082;6;12.79;;;
0.6514;0.0244;4;63.61;;;
0.7796;0.0164;4;39.68;;;
0.561;0.0232;8;54.2;;;
0.6301;0.013;5;26.92;;;
0.5726;0.0146;6;30;;;
0.5302;0.0083;7;13.28;;;
0.4599;0.011;7;21.03;;;
0.4;0.0471;9;123.63;;;
0.6939;0.0098;4;20.42;;;
0.4671;0.0165;7;35.07;;;
0.5625;0.0252;6;62.77;;;
0.6106;0.006;4;8.28;;;
0.5158;0.0288;7;73.35;;;
0.6634;0.0195;5;48.21;;;
0.624;0.0092;5;16.56;;;
0.4078;0.0135;9;24.74;;;
0.4151;0.0268;8;63.12;;;
0.536;0.0179;7;40.4;;;
0.4749;0.0273;8;66.87;;;
0.8436;0.0086;2;19.22;;;
0.7201;0.0216;5;53.38;;;
0.4903;0.0229;7;54.94;;;
0.6434;0.0062;4;9.05;;;
0.7215;0.0156;4;36.88;;;
0.4;0.0369;10;94.03;;;
0.4;0.0474;10;123.2;;;
0.6797;0.0297;5;78.82;;;
0.6711;0.0206;5;50.2;;;
0.4886;0.0144;6;32.05;;;
0.4;0.0077;9;7.18;;;
0.556;0.0109;5;22.1;;;
0.688;0.0249;4;65.56;;;
0.5871;0.0307;6;80.32;;;
0.4;0.0518;10;138.29;;;
0.4836;0.0158;8;33.93;;;
0.4082;0.0152;8;29.05;;;
0.4;0.0366;9;94.34;;;
0.5524;0.0201;7;47.53;;;
0.5263;0.0083;6;11.64;;;
0.4;0.0198;10;40.03;;;
0.6677;0.0146;4;33.92;;;
0.751;0.0137;4;33.83;;;
0.4419;0.025;8;61.96;;;
0.5681;0.023;7;56.22;;;
0.583;0.0181;7;41.66;;;
0.5313;0.0194;6;46.55;;;
0.5086;0.0113;7;22.56;;;
0.4047;0.0446;8;118.38;;;
0.5818;0.0307;6;80.22;;;
0.7985;0.0092;2;21.98;;;
0.4921;0.0128;7;25.06;;;
0.6827;0.0134;4;32.87;;;
0.4189;0.0138;9;25.26;;;
0.5936;0.0097;7;16.69;;;
0.661;0.0147;5;32.94;;;
0.7322;0.0159;3;39.24;;;
0.7576;0.0158;3;40.34;;;
0.4696;0.0173;8;37.22;;;
0.5543;0.0123;7;24.61;;;
0.4;0.0156;9;31.17;;;
0.6404;0.0131;5;27.92;;;
0.6609;0.0074;4;12.28;;;
0.6724;0.0079;5;12.95;;;
0.4725;0.0148;8;28.31;;;
0.6022;0.0147;6;34.3;;;
0.4195;0.0237;9;54.99;;;
0.5647;0.0159;5;36.12;;;
0.6612;0.0301;5;80.14;;;
0.7335;0.0136;4;31.62;;;
0.7003;0.0133;4;30.8;;;
0.4338;0.0193;8;42.3;;;
0.4569;0.0347;7;90.02;;;
0.4487;0.03;8;76.08;;;
0.6551;0.0203;5;50.2;;;
0.4;0.0381;10;96.42;;;
0.503;0.0178;6;41.77;;;
0.6173;0.0264;5;67.83;;;
0.7293;0.024;3;64.4;;;
0.7163;0.0207;4;53.03;;;
0.4342;0.0251;8;59.98;;;
0.5517;0.0193;6;44.81;;;
0.4;0.0372;10;94.13;;;
0.7193;0.015;3;35.71;;;
0.8123;0.0081;2;18.17;;;
0.6436;0.0103;5;19.64;;;
0.5476;0.0248;7;60.75;;;
0.5208;0.0289;8;72.79;;;
0.6842;0.0188;4;47.2;;;
0.4947;0.0125;7;24.61;;;
0.8075;0.0085;2;18.66;;;
0.6088;0.0136;5;31.5;;;
0.7577;0.0092;3;19.65;;;
0.8588;0.0082;2;18.65;;;
0.7179;0.0187;3;48.41;;;
0.4826;0.0154;7;32.21;;;
0.4049;0.0381;9;97.75;;;
0.5052;0.0203;7;47.29;;;
0.7325;0.0208;5;52.64;;;
0.4;0.0294;10;70.81;;;
0.6337;0.0131;4;31.1;;;
0.4089;0.0303;8;74.69;;;
0.6079;0.0227;7;55.48;;;
0.5347;0.0201;6;47.11;;;
0.514;0.0354;7;93.71;;;
0.4;0.0163;9;32.37;;;
0.7352;0.011;4;23.8;;;
0.5884;0.02;7;46.39;;;
0.6272;0.0128;5;28.5;;;
0.4222;0.0209;8;49.09;;;
0.6304;0.0195;5;48.57;;;
0.4;0.028;8;68.9;;;
0.5478;0.0171;8;35.87;;;
0.5548;0.0236;5;59.82;;;
0.4;0.0215;8;50.64;;;
0.4721;0.0209;8;46.48;;;
0.6147;0.0106;5;21.71;;;
0.5877;0.0109;6;19.31;;;
0.4;0.0226;10;49.87;;;
0.4772;0.0282;7;71.59;;;
0.5688;0.0136;5;30.93;;;
0.6066;0.0109;6;20.81;;;
0.5596;0.0203;7;47.39;;;
0.4217;0.0173;8;38.51;;;
0.6235;0.0112;6;20.62;;;
0.652;0.0164;6;36.6;;;
0.5283;0.0226;7;52.4;;;
0.6978;0.0167;4;39.78;;;
0.5736;0.0177;5;41.45;;;
0.7112;0.0112;3;25.17;;;
0.489;0.0199;7;47.07;;;
0.6359;0.0148;3;37.39;;;
0.5104;0.014;7;27.84;;;
0.6468;0.0165;5;38.19;;;
0.4357;0.0253;9;58.74;;;
0.4;0.032;9;78.36;;;
0.7308;0.0153;5;35.2;;;
0.5639;0.0125;6;24.94;;;
0.5055;0.0213;8;48.76;;;
0.6809;0.0114;6;22.96;;;
0.4249;0.0197;9;42.82;;;
0.7187;0.0108;4;24.64;;;
0.763;0.015;4;36.13;;;
0.5634;0.0224;6;56.23;;;
0.5834;0.0135;5;28.59;;;
0.6333;0.0086;4;16.15;;;
0.5734;0.0157;5;37.15;;;
0.6847;0.0124;4;27.57;;;
0.6401;0.0281;5;74.44;;;
0.4;0.0318;10;78.16;;;
0.4458;0.0223;9;50.22;;;
0.5461;0.0126;7;25.3;;;
0.5322;0.0246;7;60.63;;;
0.5915;0.0206;7;48.27;;;
0.4881;0.0322;8;81.65;;;
0.4534;0.0153;7;31.94;;;
0.7144;0.0143;4;33.79;;;
0.7152;0.0095;4;21.15;;;
0.5629;0.0234;6;58.4;;;
0.8272;0.0047;2;6.59;;;
0.6084;0.0126;7;24.86;;;
0.8388;0.0091;2;20.3;;;
0.4987;0.0145;8;28.35;;;
0.4096;0.0256;9;59.46;;;
0.8714;0.0125;3;30.95;;;
0.5721;0.0283;7;69.86;;;
0.6412;0.0276;4;74.07;;;
0.4901;0.0263;7;65.63;;;
0.4;0.0263;9;61.1;;;
0.6121;0.0113;5;23.08;;;
0.6178;0.0116;6;21.47;;;
0.4;0.0364;10;91.82;;;
0.4;0.0244;9;57.78;;;
0.5068;0.0254;6;64.5;;;
0.4433;0.0258;8;60.83;;;
0.5967;0.0282;6;72.85;;;
0.4366;0.0212;8;49.04;;;
0.4;0.0371;10;93.76;;;
0.5886;0.0148;5;33.3;;;
0.5197;0.0188;7;42.99;;;
0.5091;0.0206;6;50.43;;;
0.7624;0.009;4;18.39;;;
0.5387;0.0181;6;40.7;;;
0.616;0.013;6;27.64;;;
0.4073;0.0194;9;41.02;;;
0.7578;0.0097;3;21.85;;;
0.5999;0.0281;5;73.32;;;
0.567;0.0263;5;68.89;;;
0.6574;0.0129;5;27.56;;;
0.4;0.0219;9;49.74;;;
0.6185;0.0129;5;29.14;;;
0.5905;0.0213;6;52.74;;;
0.4;0.028;10;66.57;;;
0.5216;0.0116;8;19.66;;;
0.4882;0.0176;7;40.34;;;
0.5805;0.029;6;74.95;;;
0.7474;0.0129;3;32.67;;;
0.4791;0.0115;7;21.41;;;
0.4;0.0166;10;31.93;;;
0.4;0.0364;9;92.84;;;
0.5798;0.0148;7;31.51;;;
0.7963;0.0237;4;61.33;;;
0.6292;0.0161;4;40.15;;;
0.6096;0.0245;6;60.98;;;
0.6424;0.018;4;45.05;;;
0.4;0.0325;9;80.67;;;
0.559;0.0205;6;49.43;;;
0.4;0.0407;10;106.59;;;
0.4293;0.0447;9;117.99;;;
0.4184;0.0313;8;79.52;;;
0.6265;0.0198;4;49.96;;;
0.5766;0.011;6;22.58;;;
0.4522;0.0139;8;26.57;;;
0.5234;0.0217;8;51.1;;;
0.6136;0.0141;6;29.61;;;
0.4555;0.0218;7;52.02;;;
0.69;0.0267;4;71.81;;;
0.6545;0.018;5;42.8;;;
0.5911;0.022;6;54.9;;;
0.6048;0.0136;6;27.95;;;
0.6493;0.018;5;44.87;;;
0.4216;0.0206;9;45.79;;;
0.5448;0.0286;7;71.19;;;
0.4275;0.0323;8;80.48;;;
0.7385;0.0107;4;23.44;;;
0.4;0.0228;9;51.51;;;
0.4;0.0306;9;75.4;;;
0.4702;0.0211;8;48.87;;;
0.449;0.0247;8;58.44;;;
0.6038;0.0113;5;22.61;;;
0.7379;0.0064;3;13.42;;;
0.5748;0.0313;5;83.55;;;
0.4034;0.0196;8;43.91;;;
0.4026;0.017;9;35.14;;;
0.6739;0.0174;5;40.18;;;
0.7206;0.0094;3;21.58;;;
0.4938;0.0289;7;74.05;;;
0.4666;0.0421;8;110.69;;;
0.5038;0.0275;6;71.34;;;
0.7947;0.026;3;69.92;;;
0.7674;0.0179;4;45.52;;;
0.4;0.022;8;51.83;;;
0.4;0.043;8;114.84;;;
0.5658;0.0189;7;42.65;;;
0.827;0.0126;3;30.02;;;
0.5599;0.0329;7;84.06;;;
0.5561;0.0255;7;62.71;;;
0.5132;0.0114;6;22.25;;;
0.4;0.0298;9;72.8;;;
0.4;0.0296;9;72.94;;;
0.4758;0.0115;7;20.2;;;
0.7187;0.0081;2;17.84;;;
0.7206;0.0109;4;24.68;;;
0.4;0.0257;9;60.34;;;
0.6555;0.0292;5;76.76;;;
0.4026;0.0089;8;12.2;;;
0.578;0.0192;6;45.93;;;
0.7898;0.0106;3;25.73;;;
0.714;0.0119;4;27.19;;;
0.4143;0.0189;8;42.15;;;
0.4;0.0335;10;81.2;;;
0.5832;0.0101;5;19.86;;;
0.4994;0.0168;8;35.65;;;
0.602;0.0157;6;34.74;;;
0.4454;0.0221;9;50.19;;;
0.4715;0.0206;8;46.46;;;
0.6924;0.0134;3;32.24;;;
0.6736;0.0158;6;34.19;;;
0.5128;0.0183;7;40.97;;;
0.5665;0.017;8;34.69;;;
0.628;0.0077;3;14.07;;;
0.7005;0.0212;3;55.82;;;
0.6776;0.0207;4;52.73;;;
0.4;0.0429;10;111.9;;;
0.6016;0.008;6;12.9;;;
0.7935;0.0083;2;20.2;;;
0.7727;0.009;2;19.52;;;
0.4;0.0419;9;107.7;;;
0.7045;0.0181;5;44.15;;;
0.6188;0.0172;5;41.01;;;
0.4605;0.0319;9;80.72;;;
0.4516;0.0111;7;19.06;;;
0.4821;0.0159;8;31.83;;;
0.4606;0.0193;8;43.11;;;
0.4691;0.0089;6;14.41;;;
0.4314;0.0179;8;41.07;;;
0.6875;0.0137;4;34.17;;;
0.4;0.0112;9;17.16;;;
0.5283;0.0221;7;53.55;;;
0.6599;0.0123;6;23.74;;;
0.7442;0.0171;4;41.18;;;
0.4954;0.0127;7;23.5;;;
0.4834;0.0141;7;28.71;;;
0.4939;0.011;7;20.32;;;
0.6529;0.0154;5;35.31;;;
0.5776;0.0117;7;23.17;;;
0.5966;0.0143;6;30.69;;;
0.8463;0.0165;3;41.19;;;
0.6538;0.0095;5;17.2;;;
0.6668;0.0096;5;19.02;;;
0.4;0.0263;9;61.23;;;
0.46;0.0184;8;40.3;;;
0.497;0.0346;6;91.3;;;
0.4;0.0464;9;121.31;;;
0.408;0.0304;9;72.87;;;
0.6044;0.0237;5;61.57;;;
0.6682;0.0107;4;23.64;;;
0.6362;0.0194;6;46.8;;;
0.7942;0.0103;3;23.18;;;
0.4;0.0175;10;35.15;;;
0.6224;0.0162;5;36.31;;;
0.5462;0.0244;6;61.67;;;
0.4703;0.0168;8;34.58;;;
0.7842;0.0077;4;13.59;;;
0.6306;0.0086;5;16.77;;;
0.4;0.0111;10;16.39;;;
0.6621;0.0081;5;13.97;;;
0.5824;0.038;6;102.36;;;
0.5545;0.0145;7;30.34;;;
0.7209;0.0161;5;36.16;;;
0.7453;0.019;3;47.13;;;
0.6388;0.0197;4;51.6;;;
0.8121;0.0049;3;7.81;;;
0.5098;0.0209;7;48.85;;;
0.4147;0.0342;7;89.23;;;
0.4479;0.013;8;23.27;;;
0.8258;0.0096;2;22.11;;;
0.6715;0.0212;5;53.6;;;
0.5566;0.0134;5;29.53;;;
0.6102;0.0212;5;52.22;;;
0.6741;0.01;5;19.91;;;
0.6412;0.0194;5;46.52;;;
0.6358;0.0193;5;46.3;;;
0.4181;0.0228;8;52.3;;;
0.6106;0.0185;6;43.71;;;
0.5139;0.0112;7;19.6;;;
0.6507;0.0119;4;26.55;;;
0.8179;0.0107;3;23.59;;;
0.4711;0.0184;8;39.62;;;
0.7392;0.0097;5;18.3;;;
0.4255;0.0365;8;94.71;;;
0.5848;0.0182;6;44.66;;;
0.5603;0.0098;6;17.37;;;
0.4162;0.0088;8;10.04;;;
0.4067;0.0233;8;54.93;;;
0.6893;0.0203;4;53.26;;;
0.6607;0.0111;5;23.12;;;
0.6485;0.015;4;36.26;;;
0.4;0.0125;10;20.59;;;
0.6195;0.0177;5;41.84;;;
0.4;0.0215;8;51.26;;;
0.6007;0.0123;5;26.99;;;
0.5136;0.023;7;54.73;;;
0.6262;0.0139;5;32.53;;;
0.4;0.0203;9;43.62;;;
0.6333;0.0151;5;33.62;;;
0.4;0.0377;8;97.83;;;
0.8049;0.0168;3;43.28;;;
0.4711;0.0204;7;49.21;;;
0.564;0.0138;6;28.53;;;
0.6783;0.0221;5;55.51;;;
0.46;0.046;8;122.59;;;
0.8107;0.0131;2;33.92;;;
0.4;0.0394;10;99.42;;;
0.4;0.0378;8;97.47;;;
0.5214;0.0167;7;36.06;;;
0.44;0.0123;7;23.3;;;
0.6762;0.0112;5;22.95;;;
0.4;0.0184;10;38.96;;;
0.6958;0.0114;5;23.47;;;
0.879;0.0082;2;18.4;;;
0.6949;0.0112;4;25.03;;;
0.5177;0.02;6;47.41;;;
0.7083;0.0086;3;18.46;;;
0.5228;0.0134;7;25.29;;;
0.8106;0.0049;2;10.19;;;
0.5982;0.0334;5;88.61;;;
0.6676;0.0092;4;19.95;;;
0.5064;0.0272;7;67.78;;;
0.7091;0.0118;4;26.93;;;
0.5325;0.0113;8;18.78;;;
0.4881;0.0301;6;79.82;;;
0.6446;0.0096;6;17.41;;;
0.4;0.0291;8;71.14;;;
0.5082;0.0372;7;97.84;;;
0.4;0.0227;10;48.61;;;
0.4996;0.0232;6;58.66;;;
0.4282;0.0108;8;17.57;;;
0.4;0.0304;10;73.96;;;
0.5091;0.0149;7;31.7;;;
0.4228;0.0196;8;44.01;;;
0.4;0.0284;10;66.84;;;
0.4;0.0218;8;50.91;;;
0.4;0.0259;9;61.59;;;
0.6337;0.0118;5;23.75;;;
0.4;0.0306;10;72.78;;;
0.8434;0.0079;2;19.34;;;
0.4522;0.0157;9;31.22;;;
0.6032;0.0107;5;22.3;;;
0.8293;0.0071;2;14.88;;;
0.4637;0.0367;7;97.63;;;
0.6441;0.013;4;31.8;;;
0.575;0.0138;6;29.99;;;
0.7508;0.0123;3;30.12;;;
0.6768;0.0104;5;20.22;;;
0.6513;0.0273;4;74.29;;;
0.8058;0.0063;2;11.45;;;
0.5455;0.0344;6;90.33;;;
0.5756;0.0198;6;48.59;;;
0.4;0.0222;9;50.88;;;
0.5107;0.0378;7;99.87;;;
0.4488;0.0173;8;36.07;;;
0.7821;0.0156;3;39.44;;;
0.7616;0.0164;3;40.43;;;
0.7863;0.0145;2;38.19;;;
0.5923;0.012;6;23.23;;;
0.6531;0.0132;4;30.45;;;
0.5973;0.0181;6;42.19;;;
0.5015;0.0333;8;86.38;;;
0.7575;0.0115;3;25.86;;;
0.6575;0.0102;5;20.97;;;
0.4342;0.0247;8;59.15;;;
0.6592;0.0099;4;20.53;;;
0.5213;0.0128;8;24.29;;;
0.748;0.0142;3;33.83;;;
0.653;0.0136;5;28.77;;;
0.5488;0.0107;5;22.84;;;
0.5712;0.0344;6;92.42;;;
0.5074;0.0271;8;66.15;;;
0.73;0.0126;4;29.09;;;
0.5784;0.0224;7;52.74;;;
0.4806;0.0309;7;79.35;;;
0.7256;0.0233;5;60.36;;;
0.5808;0.0139;6;29.29;;;
0.5625;0.0383;7;99.91;;;
0.4;0.0124;10;18.68;;;
0.8039;0.0089;2;21.05;;;
0.6598;0.0254;4;67.79;;;
0.7618;0.0106;4;22.29;;;
0.6601;0.0356;4;98.82;;;
0.6888;0.0205;4;52.51;;;
0.4;0.0279;10;65.49;;;
0.4;0.0461;10;120.91;;;
0.8646;0.0099;2;23.13;;;
0.7549;0.012;3;28.56;;;
0.4;0.0383;10;97.51;;;
0.4342;0.0174;9;35.06;;;
0.4031;0.0435;9;114.32;;;
0.536;0.0154;7;32.65;;;
0.4843;0.0234;7;57.46;;;
0.7757;0.0167;3;42.21;;;
0.5733;0.0286;6;75.91;;;
0.4;0.0369;9;94.36;;;
0.4;0.0375;10;94.62;;;
0.7441;0.011;2;28.02;;;
0.6559;0.0187;5;45.16;;;
0.4463;0.0196;7;45.52;;;
0.6297;0.0094;6;15.07;;;
0.5814;0.0149;6;33.6;;;
0.8282;0.008;3;17.71;;;
0.4363;0.0422;9;109.33;;;
0.6788;0.0099;4;21.65;;;
0.6519;0.0064;4;12.17;;;
0.4664;0.0267;7;66.38;;;
0.6424;0.0071;5;10.24;;;
0.6307;0.0142;5;31.71;;;
0.5272;0.0239;9;54.84;;;
0.5537;0.0128;7;25.12;;;
0.5599;0.0164;6;37.8;;;
0.6621;0.0242;5;62.36;;;
0.5919;0.0231;6;59.29;;;
0.6689;0.0217;5;54.25;;;
0.7741;0.0077;2;17.34;;;
0.4636;0.0237;6;60.65;;;
0.4862;0.0198;8;44.83;;;
0.5919;0.0149;5;33.66;;;
0.4492;0.0302;8;74.97;;;
0.7006;0.0194;3;50.39;;;
0.4;0.0148;9;27.46;;;
0.8791;0.0053;2;9.12;;;
0.5366;0.0169;6;38.06;;;
0.7206;0.0129;4;28.99;;;
0.5188;0.0236;6;57.18;;;
0.7301;0.016;3;40.08;;;
0.7229;0.0156;4;38.89;;;
0.5904;0.0089;6;13.98;;;
0.7226;0.0373;4;103.1;;;
0.6698;0.0085;3;17.47;;;
0.5876;0.0119;5;25.32;;;
0.486;0.0176;7;40.4;;;
0.5656;0.0255;6;64.3;;;
0.4544;0.0251;8;60.19;;;
0.7808;0.0291;4;77.47;;;
0.513;0.0372;7;99.85;;;
0.5003;0.0123;6;25.65;;;
0.4;0.0472;10;123.57;;;
0.416;0.0289;9;70.21;;;
0.8006;0.0168;4;41.9;;;
0.6896;0.026;4;69.12;;;
0.5378;0.0178;6;42.5;;;
0.7182;0.0123;3;29.82;;;
0.4366;0.0189;7;43.48;;;
0.4019;0.0197;8;43.8;;;
0.4;0.0225;9;50.61;;;
0.5956;0.0266;7;65.64;;;
0.7873;0.0083;4;17.48;;;
0.4812;0.0282;6;72.49;;;
0.7308;0.0123;3;30.45;;;
0.7332;0.0115;4;24.88;;;
0.4;0.0545;10;145.64;;;
0.4;0.0145;9;26.82;;;
0.6152;0.0118;4;26.44;;;
0.8015;0.0108;3;24.57;;;
0.636;0.0219;5;55.59;;;
0.8136;0.0122;3;29.35;;;
0.6949;0.0186;4;46.52;;;
0.8418;0.0109;2;27.16;;;
0.4;0.036;9;92.83;;;
0.5478;0.0285;6;73.53;;;
0.4784;0.0332;8;86.46;;;
0.4;0.0356;9;89.9;;;
0.6396;0.0108;5;21.19;;;
0.5178;0.0136;6;27.16;;;
0.7987;0.0113;3;24.08;;;
0.6178;0.0198;5;50.15;;;
0.7895;0.0066;3;11.36;;;
0.4428;0.0359;7;92.1;;;
0.455;0.0159;8;31.98;;;
0.6452;0.0136;5;30.34;;;
